Geneid;MGIsymbol;logFC_group1-group2;logFC_group1-group3;logFC_group2-group1;logFC_group2-group3;logFC_group3-group1;logFC_group3-group2;padj_group1-group2;padj_group1-group3;padj_group2-group1;padj_group2-group3;padj_group3-group1;padj_group3-group2;P.value_group1-group2;P.value_group1-group3;P.value_group2-group1;P.value_group2-group3;P.value_group3-group1;P.value_group3-group2
ENSMUSG00000035165;Kcne3;0,752893905863275;0,578413646925737;-0,752893905863275;-0,174480258937538;-0,578413646925737;0,174480258937538;0,09118773332844;0,14502333440933;0,09118773332844;0,674365870749158;0,14502333440933;0,674365870749159;9,11877333284404E-05;0,000145023334409;9,11877333284404E-05;0,000674365870749;0,000145023334409;0,000674365870749
ENSMUSG00000059439;Bcas3;0,212075212636871;0,515869624073712;-0,212075212636872;0,303794411436841;-0,515869624073713;-0,303794411436841;0,637411403345467;0,217995726733237;0,637411403345467;0,492289738089199;0,217995726733237;0,4922897380892;0,000637411403345;0,000217995726733;0,000637411403345;0,000492289738089;0,000217995726733;0,000492289738089
ENSMUSG00000002365;Snx9;0,872207848732062;0,563688783141467;-0,872207848732062;-0,308519065590595;-0,563688783141467;0,308519065590595;0,001450546980599;0,002020145784377;0,001450546980599;0,028012389339492;0,002020145784377;0,028012389339492;1,45054698059943E-06;2,02014578437662E-06;1,45054698059943E-06;2,80123893394916E-05;2,02014578437662E-06;2,80123893394915E-05
ENSMUSG00000022106;Rcbtb2;0,076574950411754;-0,126407071655065;-0,076574950411754;-0,202982022066819;0,126407071655065;0,202982022066819;0,171068804384038;0,035865015707022;0,171068804384038;0,012047741287059;0,035865015707022;0,012047741287059;0,000171068804384;3,58650157070224E-05;0,000171068804384;1,20477412870585E-05;3,58650157070224E-05;1,20477412870585E-05
ENSMUSG00000046207;Pik3r6;0,065866380669261;-0,605030443508405;-0,065866380669261;-0,670896824177666;0,605030443508405;0,670896824177666;0,72152998349535;0,009379896628516;0,721529983495351;0,011590776979836;0,009379896628516;0,011590776979836;0,000721529983495;9,37989662851626E-06;0,000721529983495;1,15907769798358E-05;9,37989662851625E-06;1,15907769798358E-05
ENSMUSG00000021895;Arhgef3;0,674700579649858;0,747485276194574;-0,674700579649859;0,072784696544716;-0,747485276194575;-0,072784696544716;0,006972446082686;0,002729914202016;0,006972446082686;0,647436658090482;0,002729914202016;0,647436658090482;6,97244608268596E-06;2,7299142020162E-06;6,97244608268597E-06;0,00064743665809;2,7299142020162E-06;0,00064743665809
ENSMUSG00000029477;Morn3;0,085592956164196;0,270368380414334;-0,085592956164196;0,184775424250138;-0,270368380414334;-0,184775424250138;0,094504945967565;0,001420701612696;0,094504945967565;0,010305014909282;0,001420701612696;0,010305014909282;9,45049459675647E-05;1,42070161269634E-06;9,45049459675648E-05;1,0305014909282E-05;1,42070161269634E-06;1,03050149092819E-05
ENSMUSG00000022651;Retnlg;1,24301475482623;0,113224942589756;-1,24301475482623;-1,12978981223647;-0,113224942589755;1,12978981223647;0,138032515381264;0,887445125856757;0,138032515381264;0,176379838912924;0,887445125856757;0,176379838912924;0,000138032515381;0,000887445125857;0,000138032515381;0,000176379838913;0,000887445125857;0,000176379838913
ENSMUSG00000081739;Mdm4-ps;0,354008258773415;-0,220228722164178;-0,354008258773415;-0,574236980937593;0,220228722164178;0,574236980937593;0,120917538874989;0,275063804788101;0,120917538874989;0,03407948651269;0,2750638047881;0,03407948651269;0,000120917538875;0,000275063804788;0,000120917538875;3,40794865126897E-05;0,000275063804788;3,40794865126896E-05
ENSMUSG00000025153;Fasn;0,251841246107124;0,283494684176152;-0,251841246107124;0,031653438069029;-0,283494684176152;-0,031653438069029;0,012296027876943;0,004880873020173;0,012296027876943;0,654130369580196;0,004880873020173;0,654130369580197;1,22960278769429E-05;4,88087302017335E-06;1,22960278769429E-05;0,00065413036958;4,88087302017337E-06;0,00065413036958
ENSMUSG00000002475;Abhd3;-0,091805263374886;0,145234745651277;0,091805263374886;0,237040009026163;-0,145234745651277;-0,237040009026163;0,667990298850863;0,45503823014343;0,667990298850864;0,263400313489524;0,455038230143429;0,263400313489524;0,000667990298851;0,000455038230143;0,000667990298851;0,00026340031349;0,000455038230143;0,00026340031349
ENSMUSG00000019838;Slc16a10;-0,378418681438759;-1,33450945816693;0,37841868143876;-0,95609077672817;1,33450945816693;0,956090776728171;0,741092395207367;0,200106801657957;0,741092395207365;0,383672445863266;0,200106801657957;0,383672445863266;0,000741092395207;0,000200106801658;0,000741092395207;0,000383672445863;0,000200106801658;0,000383672445863
ENSMUSG00000025404;R3hdm2;-0,141333447497962;-0,002628323067384;0,141333447497962;0,138705124430578;0,002628323067384;-0,138705124430578;0,047250387746971;0,966853591846536;0,047250387746971;0,052868394664992;0,966853591846536;0,052868394664993;4,72503877469708E-05;0,000966853591847;4,72503877469707E-05;5,28683946649924E-05;0,000966853591847;5,28683946649925E-05
ENSMUSG00000055421;Pcdh9;0,57156562120764;0,477588408037015;-0,57156562120764;-0,093977213170625;-0,477588408037015;0,093977213170625;0,023915277724669;0,030499068142813;0,023915277724669;0,635320446409594;0,030499068142813;0,635320446409594;2,39152777246687E-05;3,04990681428126E-05;2,39152777246687E-05;0,00063532044641;3,04990681428126E-05;0,00063532044641
