Geneid,group1_1,group1_2,group1_3,group2_1,group2_2,group2_3,group3_1,group3_2,group3_3
ENSMUSG00000056602,6.45818453393719,6.3092948392502,6.35627470111346,5.94955877520012,6.082467058551,6.22549596205883,5.85146699504466,5.73402628877121,5.71626380071301
ENSMUSG00000019775,3.02885761807373,2.74286020336785,2.33914074754653,3.5232400770725,3.71283210228006,3.93941863213884,2.99835290974344,3.70967234148111,3.73088726027919
ENSMUSG00000045624,5.02079002644159,4.71075932818715,4.73341503370485,4.86871184913933,4.74946631659228,4.83560503368832,4.75002031361821,4.59906153865003,4.56840809928778
ENSMUSG00000031924,3.65895417463098,3.70048607870893,3.74579302699435,4.16734850913262,3.94321736310932,4.084104112912,3.87420241098847,3.79942283600932,3.67316812460633
ENSMUSG00000091221,7.89970060821776,7.84178243235123,7.93263555380139,6.97470715752552,7.07913490276291,7.07688501106829,7.13666827267515,7.12398313517207,7.04096528260444
ENSMUSG00000025473,3.14140574751665,2.31441189907457,2.39853875463648,4.58538128166475,4.35400341458126,4.52593255526296,3.84435218302935,4.03641335846737,4.13601160102497
ENSMUSG00000049551,4.33252916118628,4.22755318226457,4.33560022642678,4.58936388816954,4.33766210219215,4.60833718214506,4.14569446004729,4.33662380805115,3.99236401962299
ENSMUSG00000029088,9.33160400043646,9.0082994324323,9.10694490032006,9.35883693985697,9.29518099843833,9.42199120648113,9.21355975893326,9.25503901358339,9.01308436565082
ENSMUSG00000079039,2.95069234108702,2.68350924827638,2.44757462940492,2.86460173354321,2.52973528878126,2.94097283440197,2.81214385660344,2.78012404138601,2.80612729006153
ENSMUSG00000047085,3.30016019511332,2.83438317043725,2.72454401107426,3.17663910962354,2.9416815348332,3.12700933604732,3.01631232708798,2.88224785219861,2.81327019483483
ENSMUSG00000085311,-0.424765366355886,-0.162669848072881,-0.061314454079365,0.152554245772236,-0.253041714052381,-0.192161203207046,-0.776580253923425,0.081148399309953,-0.358002308505642
ENSMUSG00000020697,1.84496089474315,1.47608859845264,1.7478593514514,1.90029559457299,1.80913144312527,2.06288299714677,0.752583918423161,1.04655513002252,1.29072818946986
ENSMUSG00000029171,7.97681325764666,8.10012605408736,8.01441437423338,8.14630198469215,8.09041204675477,7.96472016570992,8.1605017556338,8.01720278672181,8.09883644657143
ENSMUSG00000024993,3.87620551464997,3.33630085145574,3.19560478234268,4.11581805040538,4.04737403929385,4.22581561578086,3.46734343752492,3.76775205358479,3.67316812460633
ENSMUSG00000042846,10.9056019188964,10.8957832339459,10.9287999335033,11.0211591366898,10.9394555943349,11.009290455693,10.5893059978939,10.6324768136291,10.5257312050122
ENSMUSG00000057359,8.07272271461451,8.14068681595853,8.13110972923664,7.75198192433759,7.89406751088512,7.78237928916377,7.83627945720907,7.82093201309492,8.0488396686907
ENSMUSG00000086765,5.24265697272676,5.4290318209,5.33609480710029,5.48901276185378,5.33589718310303,5.45329144969703,5.53588090645854,5.58045346284058,5.64298883875059
ENSMUSG00000084984,5.48055623468764,5.4603112211197,5.48445339396051,5.53516621213014,5.43468809962605,5.45329144969703,5.47332938920246,5.54144524371474,5.28798049983542
ENSMUSG00000063727,5.3877677107866,5.21910024149361,5.33392296333572,5.31234330368433,5.30019989056621,5.41247856822815,5.01856110513349,4.91718847383142,4.65643251133821
ENSMUSG00000027865,5.92222657029156,5.70937415118061,5.8029419939546,5.9877781304751,6.0091853341292,5.99314569195396,5.89093912637183,5.97727498041379,5.80224226234051
ENSMUSG00000017830,5.88956337792188,5.74700405781562,5.90082564934736,5.80549484421562,5.72139780059661,5.73048538392629,5.49483854267017,5.58953979474337,5.7677280402685
ENSMUSG00000092286,6.41685162639043,6.18507353410247,6.2776640532447,6.36933324274194,6.28231785916813,6.48953822803439,6.22731561210411,6.26692252918704,5.93831918276801
ENSMUSG00000003721,4.07351941431293,3.71537891773552,3.82215329630386,2.69754808469712,2.79208096165099,2.72734502036338,2.03108383377598,1.63548265810659,2.57352643065755
ENSMUSG00000040520,7.32673962443332,7.21992583925875,7.41304654536485,6.46564201063526,6.62921671844606,6.46007258907752,6.46708806882949,6.35362657876041,6.51222026379978
ENSMUSG00000021391,4.52739541684192,4.55596458983626,4.73506186277294,4.15933349184902,4.08422268361148,4.26599766249508,4.13751273506723,4.21924496480961,4.19735560535421
ENSMUSG00000020402,5.3554628992163,4.78851829365681,4.66767679763174,5.23691522636419,4.74593247409623,5.24416104177633,5.16394130971179,5.27851328458734,5.58365561777698
ENSMUSG00000021177,1.55101354950861,0.086773037677011,1.0371405421234,1.43523459809243,0.674376500906571,1.39277690854023,1.40730098249668,1.11527628685101,1.830807934437
ENSMUSG00000082199,1.11682783324806,0.37636003378349,1.01562160526942,0.063740516882933,1.06313019936786,1.02241202773899,2.18720832000012,1.57170131641745,1.88604994899072
ENSMUSG00000025855,3.38033068885532,3.37901669393819,3.37107730925624,2.99641862425941,2.78521105677039,3.0194649219179,2.75624434680625,2.41249026456791,2.47787752692555
ENSMUSG00000038496,3.11958759166167,3.35068045183576,3.27472884314497,2.85801402442402,2.91045349933842,2.8447578067141,2.89213057643515,2.97761807422321,3.07336080444323
ENSMUSG00000046182,2.14410697192734,1.67203023918248,1.6810833733202,3.62374739267403,3.42974931166921,3.320676295659,3.77220164545887,3.71706146648701,3.95086554789848
