"adj.P.Val_LWT_MCD.LWT_CTRL";"adj.P.Val_LKO_MCD.LKO_CTRL";"adj.P.Val_LKO_MCD.LWT_MCD";"adj.P.Val_LKO_CTRL.LWT_CTRL";"adj.P.Val_.LWT_MCD.LWT_CTRL...LKO_MCD.LKO_CTRL."
"904";"994";"";"27168";""
"910";"997";"";"27194";""
"911";"998";"";"27224";""
"914";"1000";"";"27242";""
"915";"1001";"";"27252";""
"919";"1004";"";"27290";""
"924";"1009";"";"27312";""
"925";"1010";"";"27340";""
"926";"1012";"";"27359";""
"927";"1014";"";"27369";""
"928";"1016";"";"27395";""
"933";"1020";"";"27442";""
"934";"1021";"";"27459";""
"935";"1022";"";"27471";""
"942";"1025";"";"27555";""
"943";"1027";"";"27613";""
"944";"1031";"";"27622";""
"945";"1033";"";"27645";""
"946";"1038";"";"27700";""
"949";"1041";"";"27851";""
"950";"1043";"";"27905";""
"952";"1044";"";"27990";""
"953";"1045";"";"28038";""
"955";"1047";"";"28050";""
"956";"1048";"";"28079";""
"957";"1051";"";"28135";""
"958";"1052";"";"28146";""
"963";"1053";"";"28391";""
"964";"1056";"";"28399";""
"965";"1058";"";"28597";""
"967";"1063";"";"28621";""
"968";"1065";"";"28669";""
"969";"1068";"";"28680";""
"970";"1070";"";"28718";""
"973";"1073";"";"28720";""
"975";"1074";"";"28860";""
"978";"1078";"";"28907";""
"981";"1082";"";"29033";""
"984";"1083";"";"29042";""
"986";"1086";"";"29174";""
"990";"1087";"";"29233";""
"993";"1091";"";"29252";""
"994";"1092";"";"29257";""
"997";"1093";"";"29348";""
"998";"1095";"";"29408";""
"1000";"1097";"";"29653";""
"1002";"1100";"";"29691";""
"1005";"1101";"";"29697";""
"1010";"1102";"";"29709";""
"1012";"1104";"";"29729";""
"1013";"1105";"";"30007";""
"1014";"1109";"";"30016";""
"1016";"1111";"";"30100";""
"1020";"1115";"";"";""
"1022";"1116";"";"";""
"1023";"1118";"";"";""
"1025";"1119";"";"";""
"1027";"1123";"";"";""
"1031";"1126";"";"";""
"1033";"1128";"";"";""
"1035";"1129";"";"";""
"1036";"1134";"";"";""
"1038";"1140";"";"";""
"1041";"1141";"";"";""
"1044";"1142";"";"";""
"1045";"1144";"";"";""
"1047";"1146";"";"";""
"1048";"1148";"";"";""
"1051";"1149";"";"";""
"1052";"1153";"";"";""
"1053";"1155";"";"";""
"1056";"1157";"";"";""
"1058";"1159";"";"";""
"1063";"1160";"";"";""
"1067";"1161";"";"";""
"1068";"1162";"";"";""
"1069";"1163";"";"";""
"1072";"1164";"";"";""
"1073";"1165";"";"";""
"1082";"1171";"";"";""
"1083";"1172";"";"";""
"1086";"1186";"";"";""
"1087";"1187";"";"";""
"1091";"1190";"";"";""
"1092";"1191";"";"";""
"1093";"1192";"";"";""
"1096";"1193";"";"";""
"1097";"1197";"";"";""
"1100";"1198";"";"";""
"1101";"1199";"";"";""
"1104";"1201";"";"";""
"1105";"1202";"";"";""
"1109";"1204";"";"";""
"1111";"1211";"";"";""
"1113";"1215";"";"";""
"1115";"1216";"";"";""
"1116";"1217";"";"";""
"1118";"1222";"";"";""
"1123";"1228";"";"";""
"1126";"1231";"";"";""
"1128";"1232";"";"";""
"1129";"1233";"";"";""
"1131";"1236";"";"";""
"1133";"1237";"";"";""
"1134";"1241";"";"";""
"1135";"1242";"";"";""
"1140";"1244";"";"";""
"1142";"1246";"";"";""
"1144";"1249";"";"";""
"1146";"1253";"";"";""
"1147";"1254";"";"";""
"1148";"1256";"";"";""
"1149";"1257";"";"";""
"1153";"1258";"";"";""
"1155";"1261";"";"";""
"1157";"1262";"";"";""
"1158";"1265";"";"";""
"1160";"1266";"";"";""
"1161";"1267";"";"";""
"1162";"1269";"";"";""
"1163";"1271";"";"";""
"1164";"1272";"";"";""
"1165";"1275";"";"";""
"1166";"1279";"";"";""
